state,county,seg,conf,date,value,headline
Alabama,Alabama,Retail & recreation,1,2020-02-23,3.354,-50.0
Alabama,Alabama,Retail & recreation,1,2020-02-24,-1.975,-50.0
Alabama,Alabama,Retail & recreation,1,2020-02-25,6.971,-50.0
Alabama,Alabama,Retail & recreation,1,2020-02-26,15.597,-50.0
Alabama,Alabama,Retail & recreation,1,2020-02-27,11.776,-50.0
Alabama,Alabama,Retail & recreation,1,2020-02-28,12.323,-50.0
Alabama,Alabama,Retail & recreation,1,2020-02-29,14.594,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-01,16.303,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-02,8.136000000000001,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-03,20.239,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-04,6.7029999999999985,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-05,6.811,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-06,9.237,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-07,11.946,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-08,11.964,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-09,9.987,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-10,8.516,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-11,10.218,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-12,10.306,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-13,6.651,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-14,0.871,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-15,-7.183,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-16,-2.192,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-17,-10.868,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-18,-13.145,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-19,-20.215,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-20,-27.171,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-21,-35.146,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-22,-39.76300000000001,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-23,-32.778,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-24,-31.687,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-25,-27.528,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-26,-30.248,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-27,-30.48,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-28,-36.213,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-29,-40.734,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-30,-32.719,-50.0
Alabama,Alabama,Retail & recreation,1,2020-03-31,-35.556,-50.0
Alabama,Alabama,Retail & recreation,1,2020-04-01,-24.616,-50.0
Alabama,Alabama,Retail & recreation,1,2020-04-02,-31.604,-50.0
Alabama,Alabama,Retail & recreation,1,2020-04-03,-28.973000000000006,-50.0
Alabama,Alabama,Retail & recreation,1,2020-04-04,-40.761,-50.0
Alabama,Alabama,Retail & recreation,1,2020-04-05,-50.494,-50.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-23,2.099,-18.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-24,-2.676,-18.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-25,2.794,-18.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-26,4.907,-18.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-27,5.662000000000001,-18.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-28,6.117000000000001,-18.0
Alabama,Alabama,Grocery & pharmacy,1,2020-02-29,9.71,-18.0
Alabama,Alabama,Grocery & pharmacy,1,2020-03-01,9.814,-18.0
