state,county,seg,value,headline,abs_delta
Ohio,Mahoning,Parks,35.584,116.0,80.416
Ohio,Miami,Parks,4.3660000000000005,-4.0,8.366
Ohio,Warren,Parks,47.262,83.0,35.738
Oklahoma,Cotton,Workplace,-48.934,-35.0,13.933999999999997
Oklahoma,Noble,Transit stations,-50.063,-62.0,11.936999999999998
Oklahoma,Okfuskee,Workplace,-26.687,-31.0,4.312999999999999
Oklahoma,Rogers,Parks,-10.008,16.0,26.008
Oklahoma,Seminole,Workplace,-35.125,-27.0,8.125
Oregon,Polk,Parks,-5.36,41.0,46.36
South Carolina,Cherokee,Parks,-6.523,-13.0,6.477
South Carolina,Clarendon,Workplace,-32.556999999999995,-39.0,6.443000000000005
South Carolina,Fairfield,Workplace,-35.48699999999999,-42.0,6.513000000000012
South Dakota,Lake,Grocery & pharmacy,0.0,-6.0,6.0
South Dakota,Roberts,Transit stations,-44.441,-46.0,1.5589999999999975
Tennessee,Anderson,Parks,7.018,27.0,19.982
Tennessee,McMinn,Transit stations,-25.592,-42.0,16.408
Tennessee,Sullivan,Parks,72.437,101.0,28.563000000000002
Texas,Bandera,Parks,-60.938,-49.0,11.938000000000002
Texas,Blanco,Parks,-49.997,-56.0,6.003
Texas,Callahan,Workplace,-28.071,-20.0,8.071000000000002
Texas,Childress,Workplace,-14.82,-27.0,12.18
Texas,Deaf Smith,Workplace,-29.159,-20.0,9.158999999999999
Texas,Gillespie,Parks,-60.034,-68.0,7.966000000000001
Texas,Hartley,Grocery & pharmacy,-6.816,6.0,12.815999999999999
Texas,Kleberg,Parks,-55.538,-70.0,14.462000000000003
Texas,McMullen,Transit stations,-37.162,-58.0,20.838
Texas,Medina,Parks,-54.028,-41.0,13.027999999999999
Texas,Reeves,Grocery & pharmacy,-38.555,-16.0,22.555
Texas,Robertson,Grocery & pharmacy,-51.52,-25.0,26.520000000000003
Texas,Runnels,Grocery & pharmacy,-24.67,-17.0,7.670000000000002
Texas,Sabine,Grocery & pharmacy,-34.474000000000004,-2.0,32.474000000000004
Texas,Shelby,Grocery & pharmacy,-45.682,-19.0,26.682000000000002
Texas,Sutton,Grocery & pharmacy,-65.76,-27.0,38.760000000000005
Texas,Terry,Grocery & pharmacy,-29.685,-27.0,2.6849999999999987
Utah,Sevier,Workplace,-4.415,-33.0,28.585
Vermont,Lamoille,Transit stations,-59.379,-40.0,19.378999999999998
Virginia,Albemarle,Parks,35.821,21.0,14.820999999999998
Virginia,Bland,Transit stations,-26.832,-30.0,3.1679999999999993
Virginia,Emporia,Workplace,-31.58,-16.0,15.579999999999998
Virginia,Greensville,Transit stations,-27.918000000000006,-44.0,16.081999999999994
Virginia,Wythe,Grocery & pharmacy,-42.896,-16.0,26.896
West Virginia,Jackson,Workplace,-20.454,-29.0,8.546
