state,county,seg,value,headline,abs_delta
Alabama,Conecuh,Workplace,-44.184,-26.0,18.183999999999997
Alabama,Cullman,Parks,63.49100000000001,65.0,1.5089999999999932
Alabama,DeKalb,Parks,9.439,-4.0,13.439
Alabama,DeKalb,Transit stations,-28.572,-49.0,20.428
Alabama,Etowah,Parks,19.227,-23.0,42.227000000000004
Alabama,Limestone,Parks,8.106,32.0,23.894
Alabama,Macon,Transit stations,-38.966,-54.0,15.033999999999999
Alabama,Marshall,Parks,126.804,63.0,63.804
Arkansas,Conway,Workplace,-21.311,-23.0,1.689
Arkansas,Lawrence,Workplace,-33.039,-32.0,1.0390000000000015
Colorado,Grand,Transit stations,-63.637,-43.0,20.637
Colorado,Kit Carson,Workplace,-27.692,-20.0,7.692
Colorado,La Plata,Transit stations,-63.82899999999999,-66.0,2.1710000000000065
Colorado,Prowers,Workplace,-31.897,-26.0,5.8969999999999985
Connecticut,Litchfield,Parks,-11.429,86.0,97.429
Connecticut,Middlesex,Parks,-14.29,85.0,99.28999999999999
Connecticut,Tolland,Parks,0.0,96.0,96.0
Georgia,Cook,Workplace,-66.669,-28.0,38.669
Georgia,Dade,Workplace,-32.181,-34.0,1.8190000000000026
Georgia,Dawson,Parks,17.305999999999994,6.0,11.305999999999994
Georgia,McDuffie,Workplace,-43.988,-26.0,17.988
Georgia,Rabun,Parks,37.094,11.0,26.094
Georgia,Union,Parks,22.435,-10.0,32.435
Georgia,Wayne,Grocery & pharmacy,-47.858,-15.0,32.858
Georgia,Wilkes,Grocery & pharmacy,-43.113,-11.0,32.113
Georgia,Worth,Grocery & pharmacy,-42.494,-20.0,22.494
Indiana,Clark,Parks,118.571,60.0,58.571
Indiana,Crawford,Retail & recreation,-27.273000000000003,-47.0,19.726999999999997
Indiana,Monroe,Parks,38.691,35.0,3.6910000000000025
Indiana,Tippecanoe,Parks,4.9060000000000015,82.0,77.094
Indiana,Vanderburgh,Parks,-16.329,29.0,45.329
Indiana,White,Transit stations,-31.966,-34.0,2.033999999999999
Kansas,Dickinson,Workplace,-20.931,-29.0,8.068999999999999
Kansas,Thomas,Transit stations,7.841,-7.0,14.841000000000001
Kentucky,Carter,Workplace,-22.222,-13.0,9.222000000000001
Kentucky,Daviess,Parks,-8.693,34.0,42.693
Kentucky,Kenton,Parks,85.92299999999999,49.0,36.92299999999999
Louisiana,De Soto Parish,Workplace,-39.743,-31.0,8.743000000000002
Massachusetts,Berkshire,Parks,-15.519,60.0,75.519
Massachusetts,Hampshire,Parks,-10.003,78.0,88.003
Minnesota,Nobles,Workplace,-42.868,-32.0,10.868000000000002
Mississippi,Scott,Workplace,-32.384,-29.0,3.3840000000000003
Mississippi,Sunflower,Workplace,-2.257,-17.0,14.743
Mississippi,Tate,Workplace,-1.881,-34.0,32.119
Mississippi,Union,Workplace,-26.19,-30.0,3.8099999999999987
Missouri,Crawford,Workplace,-9.089,-22.0,12.911
Missouri,Mississippi,Workplace,-32.257,-24.0,8.256999999999998
Missouri,Montgomery,Grocery & pharmacy,20.017,2.0,18.017
Missouri,New Madrid,Workplace,-27.012,-19.0,8.012
Missouri,Ralls,Transit stations,-25.867,-23.0,2.867000000000001
Nebraska,Colfax,Grocery & pharmacy,-11.112,-8.0,3.112
Nebraska,Keith,Transit stations,-24.238000000000003,7.0,31.238000000000003
Nebraska,York,Workplace,-22.159,-31.0,8.841000000000001
Nevada,Mineral,Transit stations,-24.998,-20.0,4.998000000000001
Nevada,White Pine,Workplace,-10.642,-19.0,8.358
New Hampshire,Strafford,Parks,-23.912,47.0,70.912
New Jersey,Warren,Parks,-5.1720000000000015,51.0,56.172000000000004
New Mexico,Hidalgo,Retail & recreation,-58.143,-54.0,4.143000000000001
New Mexico,Luna,Workplace,-25.874,-22.0,3.8739999999999988
New York,Greene,Parks,-49.023,4.0,53.023
New York,Oneida,Parks,14.281,91.0,76.719
New York,St. Lawrence,Parks,-22.435,0.0,22.435
New York,Ulster,Parks,-2.144,79.0,81.144
New York,Warren,Parks,-24.557,33.0,57.557
North Carolina,Alamance,Parks,45.0,39.0,6.0
North Carolina,Catawba,Parks,-6.819,39.0,45.819
North Carolina,Cleveland,Parks,8.001,16.0,7.9990000000000006
North Carolina,Davidson,Parks,60.322,81.0,20.677999999999997
North Carolina,Haywood,Parks,29.307,15.0,14.306999999999999
North Carolina,Jackson,Parks,16.668,9.0,7.667999999999999
North Carolina,Johnston,Parks,21.045,30.0,8.954999999999998
North Carolina,Macon,Parks,-7.41,-15.0,7.59
North Carolina,Moore,Parks,21.1,12.0,9.100000000000001
North Carolina,Stokes,Parks,-24.998,-22.0,2.998000000000001
North Carolina,Transylvania,Parks,13.574000000000002,-8.0,21.574
Ohio,Clermont,Parks,34.329,54.0,19.671
Ohio,Delaware,Parks,60.658,20.0,40.658
Ohio,Greene,Parks,135.356,20.0,115.356
