state,county,type,conf,delta
Alabama,Dallas,work,1,-22.0
Alabama,Dallas,home,0,5.0
Alabama,DeKalb,retail_rec,1,-38.0
Alabama,DeKalb,groc_pharm,1,-7.0
Alabama,DeKalb,parks,0,9.0
Alabama,DeKalb,transit,0,-33.0
Alabama,DeKalb,work,1,-23.0
Alabama,DeKalb,home,0,11.0
Alabama,Elmore,retail_rec,1,-40.0
Alabama,Elmore,groc_pharm,1,-13.0
Alabama,Elmore,parks,0,50.0
Alabama,Elmore,transit,0,
Alabama,Elmore,work,1,-37.0
Alabama,Elmore,home,1,8.0
Alabama,Escambia,retail_rec,1,-35.0
Alabama,Escambia,groc_pharm,1,-20.0
Alabama,Escambia,parks,0,
Alabama,Escambia,transit,0,
Alabama,Escambia,work,1,-27.0
Alabama,Escambia,home,0,7.0
Alabama,Etowah,retail_rec,1,-47.0
Alabama,Etowah,groc_pharm,1,-13.0
Alabama,Etowah,parks,0,19.0
Alabama,Etowah,transit,1,-27.0
Alabama,Etowah,work,1,-33.0
Alabama,Etowah,home,1,9.0
Alabama,Fayette,retail_rec,1,-23.0
Alabama,Fayette,groc_pharm,0,
Alabama,Fayette,parks,0,
Alabama,Fayette,transit,0,
Alabama,Fayette,work,0,-28.0
Alabama,Fayette,home,0,
Alabama,Franklin,retail_rec,1,-27.0
Alabama,Franklin,groc_pharm,1,-4.0
Alabama,Franklin,parks,0,
Alabama,Franklin,transit,0,
Alabama,Franklin,work,1,-14.0
Alabama,Franklin,home,0,5.0
Alabama,Geneva,retail_rec,1,-34.0
Alabama,Geneva,groc_pharm,1,-4.0
Alabama,Geneva,parks,0,
Alabama,Geneva,transit,0,
Alabama,Geneva,work,1,-28.0
Alabama,Geneva,home,0,-2.0
Alabama,Greene,retail_rec,0,11.0
Alabama,Greene,groc_pharm,1,-22.0
Alabama,Greene,parks,0,
Alabama,Greene,transit,1,-32.0
Alabama,Greene,work,0,-33.0
Alabama,Greene,home,0,
Alabama,Hale,retail_rec,0,-46.0
Alabama,Hale,groc_pharm,1,-29.0
Alabama,Hale,parks,0,
Alabama,Hale,transit,0,
Alabama,Hale,work,0,-14.0
Alabama,Hale,home,0,
Alabama,Henry,retail_rec,1,-46.0
Alabama,Henry,groc_pharm,1,-8.0
Alabama,Henry,parks,0,
Alabama,Henry,transit,0,
Alabama,Henry,work,1,-29.0
Alabama,Henry,home,0,
Alabama,Houston,retail_rec,1,-46.0
Alabama,Houston,groc_pharm,1,-18.0
Alabama,Houston,parks,0,23.0
Alabama,Houston,transit,1,-27.0
