state,county,seg,conf,value
Missouri,Adair,Retail & recreation,1,-40.0
Missouri,Adair,Transit stations,0,
Missouri,Adair,Workplace,1,-20.0
Missouri,Andrew,Grocery & pharmacy,0,5.0
Missouri,Andrew,Parks,0,
Missouri,Andrew,Residential,0,
Missouri,Andrew,Retail & recreation,0,-63.0
Missouri,Andrew,Transit stations,0,
Missouri,Andrew,Workplace,0,-32.0
Missouri,Audrain,Grocery & pharmacy,1,-9.0
Missouri,Audrain,Parks,0,
Missouri,Audrain,Residential,0,6.0
Missouri,Audrain,Retail & recreation,1,-29.0
Missouri,Audrain,Transit stations,0,
Missouri,Audrain,Workplace,1,-20.0
Missouri,Barry,Grocery & pharmacy,1,19.0
Missouri,Barry,Parks,0,
Missouri,Barry,Residential,0,9.0
Missouri,Barry,Retail & recreation,1,-18.0
Missouri,Barry,Transit stations,0,
Missouri,Barry,Workplace,1,-26.0
Missouri,Barton,Grocery & pharmacy,0,
Missouri,Barton,Parks,0,
Missouri,Barton,Residential,0,
Missouri,Barton,Retail & recreation,1,-18.0
Missouri,Barton,Transit stations,0,
Missouri,Barton,Workplace,0,-25.0
Missouri,Bates,Grocery & pharmacy,0,15.0
Missouri,Bates,Parks,0,
Missouri,Bates,Residential,0,
Missouri,Bates,Retail & recreation,1,-20.0
Missouri,Bates,Transit stations,0,
Missouri,Bates,Workplace,1,-18.0
Missouri,Benton,Grocery & pharmacy,0,128.0
Missouri,Benton,Parks,0,
Missouri,Benton,Residential,0,
Missouri,Benton,Retail & recreation,1,-32.0
Missouri,Benton,Transit stations,0,
Missouri,Benton,Workplace,1,-24.0
Missouri,Bollinger,Grocery & pharmacy,0,-18.0
Missouri,Bollinger,Parks,0,
Missouri,Bollinger,Residential,0,
Missouri,Bollinger,Retail & recreation,0,-50.0
Missouri,Bollinger,Transit stations,0,
Missouri,Bollinger,Workplace,0,-35.0
Missouri,Boone,Grocery & pharmacy,1,-18.0
Missouri,Boone,Parks,1,65.0
Missouri,Boone,Residential,1,10.0
Missouri,Boone,Retail & recreation,1,-55.0
Missouri,Boone,Transit stations,1,-58.0
Missouri,Boone,Workplace,1,-36.0
Missouri,Buchanan,Grocery & pharmacy,1,2.0
Missouri,Buchanan,Parks,0,
Missouri,Buchanan,Residential,1,7.0
Missouri,Buchanan,Retail & recreation,1,-29.0
Missouri,Buchanan,Transit stations,1,-5.0
Missouri,Buchanan,Workplace,1,-22.0
Missouri,Butler,Grocery & pharmacy,1,-5.0
Missouri,Butler,Parks,0,
Missouri,Butler,Residential,0,10.0
Missouri,Butler,Retail & recreation,1,-23.0
Missouri,Butler,Transit stations,0,
Missouri,Butler,Workplace,1,-20.0
Missouri,Caldwell,Grocery & pharmacy,0,
Missouri,Caldwell,Parks,0,
Missouri,Caldwell,Residential,0,
Missouri,Caldwell,Retail & recreation,0,
Missouri,Caldwell,Transit stations,0,
Missouri,Caldwell,Workplace,0,-20.0
Missouri,Callaway,Grocery & pharmacy,1,-1.0
Missouri,Callaway,Parks,0,
Missouri,Callaway,Residential,0,18.0
Missouri,Callaway,Retail & recreation,1,-36.0
Missouri,Callaway,Transit stations,0,
Missouri,Callaway,Workplace,1,-20.0
Missouri,Camden,Grocery & pharmacy,1,16.0
Missouri,Camden,Parks,0,
Missouri,Camden,Residential,0,13.0
Missouri,Camden,Retail & recreation,1,-28.0
Missouri,Camden,Transit stations,0,
Missouri,Camden,Workplace,1,-36.0
Missouri,Cape Girardeau,Grocery & pharmacy,1,-20.0
Missouri,Cape Girardeau,Parks,0,0.0
Missouri,Cape Girardeau,Residential,1,12.0
Missouri,Cape Girardeau,Retail & recreation,1,-43.0
Missouri,Cape Girardeau,Transit stations,0,
Missouri,Cape Girardeau,Workplace,1,-33.0
Missouri,Carroll,Grocery & pharmacy,0,
Missouri,Carroll,Parks,0,
Missouri,Carroll,Residential,0,
Missouri,Carroll,Retail & recreation,0,-28.0
Missouri,Carroll,Transit stations,0,
Missouri,Carroll,Workplace,0,-19.0
Missouri,Cass,Grocery & pharmacy,1,-17.0
Missouri,Cass,Parks,0,29.0
Missouri,Cass,Residential,1,9.0
Missouri,Cass,Retail & recreation,1,-26.0
Missouri,Cass,Transit stations,1,-14.0
Missouri,Cass,Workplace,1,-33.0
Missouri,Cedar,Grocery & pharmacy,1,-5.0
Missouri,Cedar,Parks,0,
Missouri,Cedar,Residential,0,
Missouri,Cedar,Retail & recreation,0,-15.0
Missouri,Cedar,Transit stations,0,
Missouri,Cedar,Workplace,1,-28.0
Missouri,Chariton,Grocery & pharmacy,0,
Missouri,Chariton,Parks,0,
Missouri,Chariton,Residential,0,
Missouri,Chariton,Retail & recreation,0,
Missouri,Chariton,Transit stations,0,
Missouri,Chariton,Workplace,0,-30.0
Missouri,Christian,Grocery & pharmacy,1,-10.0
Missouri,Christian,Parks,0,-19.0
Missouri,Christian,Residential,1,13.0
Missouri,Christian,Retail & recreation,1,-30.0
Missouri,Christian,Transit stations,0,
Missouri,Christian,Workplace,1,-33.0
Missouri,Clark,Grocery & pharmacy,0,-10.0
Missouri,Clark,Parks,0,
Missouri,Clark,Residential,0,
Missouri,Clark,Retail & recreation,0,
Missouri,Clark,Transit stations,0,-46.0
Missouri,Clark,Workplace,0,-4.0
Missouri,Clay,Grocery & pharmacy,1,-17.0
Missouri,Clay,Parks,1,214.0
Missouri,Clay,Residential,1,10.0
Missouri,Clay,Retail & recreation,1,-32.0
Missouri,Clay,Transit stations,1,-30.0
Missouri,Clay,Workplace,1,-38.0
Missouri,Clinton,Grocery & pharmacy,1,-8.0
Missouri,Clinton,Parks,0,
Missouri,Clinton,Residential,0,
Missouri,Clinton,Retail & recreation,0,-76.0
Missouri,Clinton,Transit stations,0,
Missouri,Clinton,Workplace,1,-31.0
Missouri,Cole,Grocery & pharmacy,1,-23.0
Missouri,Cole,Parks,0,
Missouri,Cole,Residential,0,19.0
Missouri,Cole,Retail & recreation,1,-44.0
Missouri,Cole,Transit stations,0,
Missouri,Cole,Workplace,1,-29.0
Missouri,Cooper,Grocery & pharmacy,1,-19.0
Missouri,Cooper,Parks,0,
Missouri,Cooper,Residential,0,
Missouri,Cooper,Retail & recreation,1,-27.0
Missouri,Cooper,Transit stations,1,-15.0
Missouri,Cooper,Workplace,1,-20.0
Missouri,Crawford,Grocery & pharmacy,1,-7.0
Missouri,Crawford,Parks,0,
Missouri,Crawford,Residential,0,
Missouri,Crawford,Retail & recreation,1,-20.0
Missouri,Crawford,Transit stations,0,-7.0
Missouri,Crawford,Workplace,1,-17.0
Missouri,Dade,Grocery & pharmacy,0,
Missouri,Dade,Parks,0,
Missouri,Dade,Residential,0,
Missouri,Dade,Retail & recreation,0,
Missouri,Dade,Transit stations,0,
Missouri,Dade,Workplace,0,-13.0
Missouri,Dallas,Grocery & pharmacy,1,8.0
Missouri,Dallas,Parks,0,
Missouri,Dallas,Residential,0,
Missouri,Dallas,Retail & recreation,1,-11.0
Missouri,Dallas,Transit stations,0,
Missouri,Dallas,Workplace,0,-16.0
Missouri,Daviess,Grocery & pharmacy,0,
Missouri,Daviess,Parks,0,
Missouri,Daviess,Residential,0,
Missouri,Daviess,Retail & recreation,0,
Missouri,Daviess,Transit stations,0,
Missouri,Daviess,Workplace,0,-13.0
Missouri,DeKalb,Grocery & pharmacy,1,3.0
